Week,impeachment,Malcolm Turnbull,North Korea,Overwatch
2016-06-12,0,15,3,49
2016-06-19,0,17,3,45
2016-06-26,0,42,2,49
2016-07-03,0,30,3,42
2016-07-10,0,14,3,38
2016-07-17,0,9,3,32
2016-07-24,0,8,6,30
2016-07-31,0,6,7,32
2016-08-07,0,6,8,28
2016-08-14,0,6,7,31
2016-08-21,0,5,6,32
2016-08-28,1,6,5,26
2016-09-04,0,6,7,32
2016-09-11,0,6,6,31
2016-09-18,0,5,5,25
2016-09-25,0,5,3,23
2016-10-02,0,4,4,23
2016-10-09,0,5,4,35
2016-10-16,1,6,5,28
2016-10-23,0,6,3,23
2016-10-30,1,4,5,29
2016-11-06,4,8,5,29
2016-11-13,1,6,3,31
2016-11-20,1,5,2,30
2016-11-27,0,6,3,29
2016-12-04,1,5,3,27
2016-12-11,0,5,3,33
2016-12-18,0,3,2,36
2016-12-25,0,4,5,33
2017-01-01,0,4,3,32
2017-01-08,1,4,3,28
2017-01-15,2,5,3,29
2017-01-22,2,4,3,35
2017-01-29,6,30,3,29
2017-02-05,2,25,3,26
2017-02-12,2,8,10,26
2017-02-19,2,8,6,28
2017-02-26,1,7,4,36
2017-03-05,2,6,9,26
2017-03-12,0,7,10,21
2017-03-19,2,7,7,24
2017-03-26,1,5,4,22
2017-04-02,1,6,7,23
2017-04-09,0,5,82,35
2017-04-16,1,13,100,27
2017-04-23,0,8,95,25
2017-04-30,0,12,44,23
2017-05-07,1,7,25,20
2017-05-14,12,5,24,25
2017-05-21,2,5,16,36
2017-05-28,1,5,16,32
2017-06-04,1,5,12,28
